"iso_code3","frac_waso_initial_composition_mun_other","Year"
"GUY",0.0242,2015
"GUY",0.0242,2016
"GUY",0.0242,2017
"GUY",0.0242,2018
"GUY",0.0242,2019
"GUY",0.0242,2020
"HKG",0.028,2010
"HKG",0.028,2011
"HKG",0.028,2012
"HKG",0.028,2013
"HKG",0.028,2014
"HKG",0.028,2015
"HKG",0.028,2016
"HKG",0.028,2017
"HKG",0.028,2018
"HKG",0.028,2019
"HKG",0.028,2020
"HND",0.01324,2010
"HND",0.01324,2011
"HND",0.01324,2012
"HND",0.01324,2013
"HND",0.01324,2014
"HND",0.01324,2015
"HND",0.01324,2016
"HND",0.01324,2017
"HND",0.01324,2018
"HND",0.01324,2019
"HND",0.01324,2020
"HRV",0.023,2010
"HRV",0.023,2011
"HRV",0.023,2012
"HRV",0.023,2013
"HRV",0.023,2014
"HRV",0.023,2015
"HRV",0.023,2016
"HRV",0.023,2017
"HRV",0.023,2018
"HRV",0.023,2019
"HRV",0.023,2020
"HTI",0.0336,2010
"HTI",0.0336,2011
"HTI",0.0336,2012
"HTI",0.0336,2013
"HTI",0.0336,2014
"HTI",0.0336,2015
"HTI",0.0336,2016
"HTI",0.0336,2017
"HTI",0.0336,2018
"HTI",0.0336,2019
"HTI",0.0336,2020
"HUN",0.0918,2010
"HUN",0.0918,2011
"HUN",0.0918,2012
"HUN",0.0918,2013
"HUN",0.0918,2014
"HUN",0.0918,2015
"HUN",0.0918,2016
"HUN",0.0918,2017
"HUN",0.0918,2018
"HUN",0.0918,2019
"HUN",0.0918,2020
"IDN",0.0258,2010
"IDN",0.0258,2011
"IDN",0.0258,2012
"IDN",0.0258,2013
"IDN",0.0258,2014
"IDN",0.0258,2015
"IDN",0.0258,2016
"IDN",0.0258,2017
"IDN",0.0258,2018
"IDN",0.0258,2019
"IDN",0.0258,2020
"IMN",0.036026491411713,2010
"IMN",0.036026491411713,2011
"IMN",0.036026491411713,2012
"IMN",0.036026491411713,2013
"IMN",0.036026491411713,2014
"IMN",0.036026491411713,2015
"IMN",0.036026491411713,2016
"IMN",0.036026491411713,2017
"IMN",0.036026491411713,2018
"IMN",0.036026491411713,2019
"IMN",0.036026491411713,2020
"IND",0.0117203292974796,2010
"IND",0.0117203292974796,2011
"IND",0.0117203292974796,2012
"IND",0.0117203292974796,2013
"IND",0.0117203292974796,2014
"IND",0.0117203292974796,2015
"IND",0.0117203292974796,2016
"IND",0.0117203292974796,2017
"IND",0.0117203292974796,2018
"IND",0.0117203292974796,2019
"IND",0.0117203292974796,2020
"IRL",0.0516,2010
"IRL",0.0516,2011
"IRL",0.0516,2012
"IRL",0.0516,2013
"IRL",0.0516,2014
"IRL",0.0516,2015
"IRL",0.0516,2016
"IRL",0.0516,2017
"IRL",0.0516,2018
"IRL",0.0516,2019
"IRL",0.0516,2020
"IRN",0.01,2010
"IRN",0.01,2011
"IRN",0.01,2012
"IRN",0.01,2013
"IRN",0.01,2014
"IRN",0.01,2015
"IRN",0.01,2016
"IRN",0.01,2017
"IRN",0.01,2018
"IRN",0.01,2019
"IRN",0.01,2020
"IRQ",0.012,2010
"IRQ",0.012,2011
"IRQ",0.012,2012
"IRQ",0.012,2013
"IRQ",0.012,2014
"IRQ",0.012,2015
"IRQ",0.012,2016
"IRQ",0.012,2017
"IRQ",0.012,2018
"IRQ",0.012,2019
"IRQ",0.012,2020
"ISL",0.0351670021574694,2010
"ISL",0.0351670021574694,2011
"ISL",0.0351670021574694,2012
"ISL",0.0351670021574694,2013
"ISL",0.0351670021574694,2014
