"iso_code3","frac_waso_non_recycled_landfilled","Year"
"HUN",0.5364,2019
"HUN",0.5364,2020
"IDN",0.69,2010
"IDN",0.69,2011
"IDN",0.69,2012
"IDN",0.69,2013
"IDN",0.69,2014
"IDN",0.69,2015
"IDN",0.69,2016
"IDN",0.69,2017
"IDN",0.69,2018
"IDN",0.69,2019
"IDN",0.69,2020
"IMN",0.25,2010
"IMN",0.25,2011
"IMN",0.25,2012
"IMN",0.25,2013
"IMN",0.25,2014
"IMN",0.25,2015
"IMN",0.25,2016
"IMN",0.25,2017
"IMN",0.25,2018
"IMN",0.25,2019
"IMN",0.25,2020
"IND",0,2010
"IND",0,2011
"IND",0,2012
"IND",0,2013
"IND",0,2014
"IND",0,2015
"IND",0,2016
"IND",0,2017
"IND",0,2018
"IND",0,2019
"IND",0,2020
"IRL",0.41,2010
"IRL",0.41,2011
"IRL",0.41,2012
"IRL",0.41,2013
"IRL",0.41,2014
"IRL",0.41,2015
"IRL",0.41,2016
"IRL",0.41,2017
"IRL",0.41,2018
"IRL",0.41,2019
"IRL",0.41,2020
"IRN",0.1,2010
"IRN",0.1,2011
"IRN",0.1,2012
"IRN",0.1,2013
"IRN",0.1,2014
"IRN",0.1,2015
"IRN",0.1,2016
"IRN",0.1,2017
"IRN",0.1,2018
"IRN",0.1,2019
"IRN",0.1,2020
"IRQ",0,2010
"IRQ",0,2011
"IRQ",0,2012
"IRQ",0,2013
"IRQ",0,2014
"IRQ",0,2015
"IRQ",0,2016
"IRQ",0,2017
"IRQ",0,2018
"IRQ",0,2019
"IRQ",0,2020
"ISL",0.3029,2010
"ISL",0.3029,2011
"ISL",0.3029,2012
"ISL",0.3029,2013
"ISL",0.3029,2014
"ISL",0.3029,2015
"ISL",0.3029,2016
"ISL",0.3029,2017
"ISL",0.3029,2018
"ISL",0.3029,2019
"ISL",0.3029,2020
"ISR",0.75,2010
"ISR",0.75,2011
"ISR",0.75,2012
"ISR",0.75,2013
"ISR",0.75,2014
"ISR",0.75,2015
"ISR",0.75,2016
"ISR",0.75,2017
"ISR",0.75,2018
"ISR",0.75,2019
"ISR",0.75,2020
"ITA",0.2648,2010
"ITA",0.2648,2011
"ITA",0.2648,2012
"ITA",0.2648,2013
"ITA",0.2648,2014
"ITA",0.2648,2015
"ITA",0.2648,2016
"ITA",0.2648,2017
"ITA",0.2648,2018
"ITA",0.2648,2019
"ITA",0.2648,2020
"JAM",0.64,2010
"JAM",0.64,2011
"JAM",0.64,2012
"JAM",0.64,2013
"JAM",0.64,2014
"JAM",0.64,2015
"JAM",0.64,2016
"JAM",0.64,2017
"JAM",0.64,2018
"JAM",0.64,2019
"JAM",0.64,2020
"JOR",0.48,2010
"JOR",0.48,2011
"JOR",0.48,2012
"JOR",0.48,2013
"JOR",0.48,2014
"JOR",0.48,2015
"JOR",0.48,2016
"JOR",0.48,2017
"JOR",0.48,2018
"JOR",0.48,2019
"JOR",0.48,2020
"JPN",0.011,2010
"JPN",0.011,2011
"JPN",0.011,2012
"JPN",0.011,2013
"JPN",0.011,2014
"JPN",0.011,2015
"JPN",0.011,2016
"JPN",0.011,2017
"JPN",0.011,2018
"JPN",0.011,2019
"JPN",0.011,2020
"KAZ",0,2010
"KAZ",0,2011
"KAZ",0,2012
"KAZ",0,2013
"KAZ",0,2014
"KAZ",0,2015
"KAZ",0,2016
"KAZ",0,2017
"KAZ",0,2018
"KAZ",0,2019
"KAZ",0,2020
"KEN",0,2010
"KEN",0,2011
"KEN",0,2012
"KEN",0,2013
"KEN",0,2014
"KEN",0,2015
"KEN",0,2016
"KEN",0,2017
"KEN",0,2018
"KEN",0,2019
"KEN",0,2020
"KGZ",0,2010
"KGZ",0,2011
"KGZ",0,2012
"KGZ",0,2013
"KGZ",0,2014
"KGZ",0,2015
"KGZ",0,2016
"KGZ",0,2017
"KGZ",0,2018
"KGZ",0,2019
"KGZ",0,2020
"KHM",0,2010
"KHM",0,2011
"KHM",0,2012
"KHM",0,2013
"KHM",0,2014
"KHM",0,2015
"KHM",0,2016
"KHM",0,2017
"KHM",0,2018
"KHM",0,2019
"KHM",0,2020
"KIR",0,2010
"KIR",0,2011
"KIR",0,2012
"KIR",0,2013
"KIR",0,2014
"KIR",0,2015
"KIR",0,2016
"KIR",0,2017
"KIR",0,2018
"KIR",0,2019
"KIR",0,2020
"KNA",1,2010
"KNA",1,2011
"KNA",1,2012
"KNA",1,2013
"KNA",1,2014
"KNA",1,2015
"KNA",1,2016
"KNA",1,2017
"KNA",1,2018
"KNA",1,2019
"KNA",1,2020
"KOR",0.16,2010
"KOR",0.16,2011
"KOR",0.16,2012
"KOR",0.16,2013
"KOR",0.16,2014
"KOR",0.16,2015
"KOR",0.16,2016
"KOR",0.16,2017
"KOR",0.16,2018
"KOR",0.16,2019
"KOR",0.16,2020
"KWT",0,2010
"KWT",0,2011
"KWT",0,2012
"KWT",0,2013
"KWT",0,2014
"KWT",0,2015
"KWT",0,2016
"KWT",0,2017
"KWT",0,2018
"KWT",0,2019
"KWT",0,2020
"LAO",0.3,2010
"LAO",0.3,2011
"LAO",0.3,2012
"LAO",0.3,2013
"LAO",0.3,2014
"LAO",0.3,2015
"LAO",0.3,2016
"LAO",0.3,2017
"LAO",0.3,2018
"LAO",0.3,2019
"LAO",0.3,2020
"LBN",0.48,2010
"LBN",0.48,2011
"LBN",0.48,2012
"LBN",0.48,2013
"LBN",0.48,2014
"LBN",0.48,2015
"LBN",0.48,2016
"LBN",0.48,2017
"LBN",0.48,2018
"LBN",0.48,2019
"LBN",0.48,2020
"LBR",0,2010
"LBR",0,2011
"LBR",0,2012
"LBR",0,2013
"LBR",0,2014
"LBR",0,2015
"LBR",0,2016
"LBR",0,2017
"LBR",0,2018
"LBR",0,2019
"LBR",0,2020
"LBY",0,2010
"LBY",0,2011
"LBY",0,2012
"LBY",0,2013
"LBY",0,2014
"LBY",0,2015
"LBY",0,2016
"LBY",0,2017
"LBY",0,2018
"LBY",0,2019
"LBY",0,2020
"LCA",0.968,2010
