Year,iso_code3,cost_enfu_fuel_kerosene_usd_per_m3
2020,CHL,274.0889068
2015,CHN,274.0889068
2016,CHN,274.0889068
2017,CHN,274.0889068
2018,CHN,274.0889068
2019,CHN,274.0889068
2020,CHN,274.0889068
2015,CIV,274.0889068
2016,CIV,274.0889068
2017,CIV,274.0889068
2018,CIV,274.0889068
2019,CIV,274.0889068
2020,CIV,274.0889068
2015,CMR,274.0889068
2016,CMR,274.0889068
2017,CMR,274.0889068
2018,CMR,274.0889068
2019,CMR,274.0889068
2020,CMR,274.0889068
2015,COD,274.0889068
2016,COD,274.0889068
2017,COD,274.0889068
2018,COD,274.0889068
2019,COD,274.0889068
2020,COD,274.0889068
2015,COG,274.0889068
2016,COG,274.0889068
2017,COG,274.0889068
2018,COG,274.0889068
2019,COG,274.0889068
2020,COG,274.0889068
2015,COL,274.0889068
2016,COL,274.0889068
2017,COL,274.0889068
2018,COL,274.0889068
2019,COL,274.0889068
2020,COL,274.0889068
2015,COM,274.0889068
2016,COM,274.0889068
2017,COM,274.0889068
2018,COM,274.0889068
2019,COM,274.0889068
2020,COM,274.0889068
2015,CPV,274.0889068
2016,CPV,274.0889068
2017,CPV,274.0889068
2018,CPV,274.0889068
2019,CPV,274.0889068
2020,CPV,274.0889068
2015,CRI,274.0889068
2016,CRI,274.0889068
2017,CRI,274.0889068
2018,CRI,274.0889068
2019,CRI,274.0889068
2020,CRI,274.0889068
2015,CUB,274.0889068
2016,CUB,274.0889068
2017,CUB,274.0889068
2018,CUB,274.0889068
2019,CUB,274.0889068
2020,CUB,274.0889068
2015,CUW,274.0889068
2016,CUW,274.0889068
2017,CUW,274.0889068
2018,CUW,274.0889068
2019,CUW,274.0889068
2020,CUW,274.0889068
2015,CYM,274.0889068
2016,CYM,274.0889068
2017,CYM,274.0889068
2018,CYM,274.0889068
2019,CYM,274.0889068
2020,CYM,274.0889068
2015,CYP,1097.865
2016,CYP,1097.865
2017,CYP,1097.865
2018,CYP,1097.865
2019,CYP,1097.865
2020,CYP,1097.865
2015,CZE,274.0889068
2016,CZE,274.0889068
2017,CZE,274.0889068
2018,CZE,274.0889068
2019,CZE,274.0889068
2020,CZE,274.0889068
