Year,iso_code3,frac_waso_non_recycled_incinerated
2020,ITA,0.18876311819598157
2010,JAM,0.12306428045392762
2011,JAM,0.12306428045392762
2012,JAM,0.12306428045392762
2013,JAM,0.12306428045392762
2014,JAM,0.12306428045392762
2015,JAM,0.12306428045392762
2016,JAM,0.12306428045392762
2017,JAM,0.12306428045392762
2018,JAM,0.12306428045392762
2019,JAM,0.12306428045392762
2020,JAM,0.12306428045392762
2010,JOR,0.15525025314021904
2011,JOR,0.15525025314021904
2012,JOR,0.15525025314021904
2013,JOR,0.15525025314021904
2014,JOR,0.15525025314021904
2015,JOR,0.15525025314021904
2016,JOR,0.15525025314021904
2017,JOR,0.15525025314021904
2018,JOR,0.15525025314021904
2019,JOR,0.15525025314021904
2020,JOR,0.15525025314021904
2010,JPN,0.5916600765634107
2011,JPN,0.5916600765634107
2012,JPN,0.5916600765634107
2013,JPN,0.5916600765634107
2014,JPN,0.5916600765634107
