TIMESERIES,UNIT,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Russian Federation.Natural gas (MWh).Industry,Total price (National currency/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.00,0.01,0.13,0.97,4.53,..,..,..,..,..,..,..,70.06,93.22,110.55,132.87,148.31,172.04,216.58,237.49,289.28,326.01,353.41,393.71,426.20,465.75,471.49,473.75
Russian Federation.Natural gas (MWh).Industry,Total price (USD/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.98,..,..,..,..,..,..,..,..,2.23,3.04,3.84,4.70,5.46,6.73,8.72,7.48,9.53,11.10,11.46,12.37,11.11,7.64,7.03,8.12
Russian Federation.Natural gas (MWh).Industry,Total price (USD/unit using PPP),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6.70,5.38,6.29,..,..,..,..,..,..,..,7.56,9.45,9.57,10.43,11.76,12.31,15.10,16.94,18.29,18.79,19.15,20.27,20.29,20.23,19.92,..
Russian Federation.Natural gas (MWh).Residential,Total price (National currency/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.02,0.12,0.29,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,477.43,499.08,526.39,546.17
Russian Federation.Natural gas (MWh).Residential,Total price (USD/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.12,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,12.44,8.19,7.85,9.36
Russian Federation.Natural gas (MWh).Residential,Total price (USD/unit using PPP),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.20,0.67,0.40,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,22.72,21.68,22.24,..
Saudi Arabia.Ethane (MWh).Industry,Total price (National currency/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,9.60,9.74,22.39,22.39
Saudi Arabia.Ethane (MWh).Industry,Total price (USD/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.56,2.60,5.97,5.97
Saudi Arabia.Ethane (MWh).Industry,Total price (USD/unit using PPP),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5.48,6.81,16.23,..
Saudi Arabia.Natural gas (MWh).Electricity Generation,Total price (National currency/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,9.60,9.67,15.99,15.99
Saudi Arabia.Natural gas (MWh).Electricity Generation,Total price (USD/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.56,2.58,4.26,4.26
Saudi Arabia.Natural gas (MWh).Electricity Generation,Total price (USD/unit using PPP),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5.48,6.76,11.59,..
Serbia.Natural gas (MWh).Industry,Total price (National currency/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4710.70,4974.10,5588.70,4317.55,4278.70
Serbia.Natural gas (MWh).Industry,Total price (USD/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,55.32,56.26,51.36,38.80,39.71
Serbia.Natural gas (MWh).Industry,Total price (USD/unit using PPP),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,119.80,124.98,136.28,103.79,..
Serbia.Natural gas (MWh).Residential,Total price (National currency/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4800.40,5149.90,5234.10,4310.15,3954.00
Serbia.Natural gas (MWh).Residential,Total price (USD/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,56.37,58.25,48.10,38.73,36.69
Serbia.Natural gas (MWh).Residential,Total price (USD/unit using PPP),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,122.08,129.39,127.63,103.61,..
Singapore.Liquified Petroleum Gas (litre).Transport,Total price (National currency/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.11,1.14,1.25,1.32,1.54,1.42,1.56,1.68,1.71,1.74,1.81,1.65,1.67,1.82
Singapore.Liquified Petroleum Gas (litre).Transport,Total price (USD/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.65,0.69,0.79,0.88,1.09,0.98,1.14,1.33,1.37,1.39,1.43,1.20,1.21,1.32
Singapore.Liquified Petroleum Gas (litre).Transport,Total price (USD/unit using PPP),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.22,1.27,1.41,1.44,1.73,1.56,1.73,1.88,1.94,2.02,2.13,1.92,2.01,..
Singapore.Natural gas (MWh).Industry,Total price (National currency/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,157.50,171.15,171.72,202.23,165.85,189.39,191.53,220.42,215.07,215.07,189.39,166.92,..
Singapore.Natural gas (MWh).Industry,Total price (USD/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,94.88,107.64,113.72,143.43,114.38,139.26,152.01,176.34,172.06,169.35,138.24,120.96,..
Singapore.Natural gas (MWh).Industry,Total price (USD/unit using PPP),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,175.00,192.30,186.65,227.22,182.25,210.43,215.20,250.48,250.08,253.02,220.22,201.11,..
Singapore.Natural gas (MWh).Residential,Total price (National currency/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,168.00,181.65,182.32,212.93,176.55,200.09,202.23,231.12,225.77,225.77,200.09,177.62,..
Singapore.Natural gas (MWh).Residential,Total price (USD/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,101.21,114.25,120.74,151.01,121.76,147.13,160.50,184.90,180.62,177.77,146.05,128.71,..
Singapore.Natural gas (MWh).Residential,Total price (USD/unit using PPP),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,186.67,204.10,198.17,239.25,194.01,222.32,227.22,262.64,262.52,265.61,232.66,214.00,..
Sri Lanka.Fuel oil (tonnes).Industry,Total price (National currency/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4976.07,5876.65,5876.65,5876.65,5876.65,5876.65,6220.20,7200.22,7200.22,7200.22,9366.82,16186.85,20583.57,24956.79,24957.74,29739.33,41569.50,47922.05,63209.62,30559.15,37208.18,50331.89,90436.66,95296.99,95296.99,84708.43,84708.43,84708.43
Sri Lanka.Fuel oil (tonnes).Industry,Total price (USD/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,124.22,142.05,134.08,121.62,118.91,114.67,112.54,122.06,111.72,101.93,121.63,181.10,215.17,258.57,246.64,295.91,400.05,433.21,583.49,265.87,329.10,455.20,708.75,738.34,729.91,623.50,581.87,555.65
Sri Lanka.Fuel oil (tonnes).Industry,Total price (USD/unit using PPP),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,625.92,690.56,645.08,600.88,559.15,522.37,508.19,549.22,508.13,495.54,614.62,955.54,1141.00,1297.81,1225.22,1364.82,1767.41,1834.69,2121.13,975.71,979.16,1302.25,2150.18,2166.82,2139.10,1910.43,1867.88,..
Sri Lanka.Kerosene (1000 litres).Industry,Total price (National currency/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,9850.00,9850.00,9850.00,10939.86,11800.00,11800.00,12033.61,12700.00,12700.00,12700.00,17459.56,21157.53,22762.74,26367.12,27800.00,30926.03,42694.52,64172.60,77765.03,55501.37,56000.00,65260.27,106983.61,114419.18,114630.14,89380.82,88000.00,88000.00
Sri Lanka.Kerosene (1000 litres).Industry,Total price (USD/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,245.88,238.10,224.73,226.40,238.77,230.24,217.72,215.29,197.05,179.79,226.72,236.71,237.96,273.18,274.73,307.72,410.88,580.12,717.85,482.87,495.31,590.22,838.43,886.49,877.99,657.89,604.48,577.24
Sri Lanka.Kerosene (1000 litres).Industry,Total price (USD/unit using PPP),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1238.99,1157.46,1081.23,1118.60,1122.74,1048.89,983.14,968.73,896.26,874.05,1145.64,1248.97,1261.79,1371.15,1364.75,1419.28,1815.24,2456.84,2609.57,1772.07,1473.68,1688.49,2543.59,2601.62,2573.07,2015.81,1940.46,..
Tajikistan.Liquified Petroleum Gas (litre).Transport,Total price (National currency/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.43,2.57,2.94,3.62,3.69,3.42,2.74,3.04,..
Tajikistan.Liquified Petroleum Gas (litre).Transport,Total price (USD/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.59,0.59,0.64,0.76,0.78,0.69,0.45,0.39,..
Tajikistan.Liquified Petroleum Gas (litre).Transport,Total price (USD/unit using PPP),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.72,1.64,1.69,1.90,1.88,1.68,1.37,1.45,..
Thailand.Fuel oil (tonnes).Industry,Total price (National currency/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5801.19,6828.47,6690.20,9806.62,9838.53,9827.90,11019.16,11678.60,16050.10,18390.08,19623.88,24357.01,21091.68,23438.75,28375.74,31281.21,28973.15,29370.52,22235.97,20613.05,24288.76
Thailand.Fuel oil (tonnes).Industry,Total price (USD/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,184.99,165.10,176.94,244.49,221.44,228.77,265.65,290.37,399.06,485.48,568.48,731.22,615.10,739.63,930.66,1006.47,942.83,904.26,649.23,583.94,715.64
Thailand.Fuel oil (tonnes).Industry,Total price (USD/unit using PPP),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,533.20,587.14,599.48,886.67,892.79,891.01,997.21,1048.35,1415.35,1590.84,1700.51,2046.81,1781.39,1925.94,2293.92,2526.75,2336.54,2376.26,1812.22,1671.78,..
Thailand.Liquified Petroleum Gas (litre).Industry,Total price (National currency/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11.01,15.50,16.04,15.70,12.63,11.06,11.22
Thailand.Liquified Petroleum Gas (litre).Industry,Total price (USD/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.36,0.50,0.52,0.48,0.37,0.31,0.33
Thailand.Liquified Petroleum Gas (litre).Industry,Total price (USD/unit using PPP),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.89,1.25,1.29,1.27,1.03,0.90,..
Thailand.Liquified Petroleum Gas (litre).Residential,Total price (National currency/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6.86,5.96,5.78,6.43,7.44,8.03,8.89,9.08,9.08,9.13,9.79,9.79,9.79,9.79,9.79,9.94,12.07,12.63,11.06,11.22
Thailand.Liquified Petroleum Gas (litre).Residential,Total price (USD/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.17,0.16,0.14,0.14,0.17,0.19,0.22,0.23,0.24,0.27,0.29,0.29,0.31,0.32,0.32,0.32,0.37,0.37,0.31,0.33
Thailand.Liquified Petroleum Gas (litre).Residential,Total price (USD/unit using PPP),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.59,0.53,0.52,0.58,0.67,0.73,0.80,0.80,0.79,0.79,0.82,0.83,0.81,0.79,0.79,0.80,0.98,1.03,0.90,..
Thailand.Liquified Petroleum Gas (litre).Transport,Total price (National currency/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5.68,6.45,5.80,5.71,6.48,7.55,8.05,8.90,9.08,9.08,9.14,9.79,9.79,9.79,9.79,11.21,11.55,11.77,12.63,11.06,11.22
Thailand.Liquified Petroleum Gas (litre).Transport,Total price (USD/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.18,0.16,0.15,0.14,0.15,0.18,0.19,0.22,0.23,0.24,0.27,0.29,0.29,0.31,0.32,0.36,0.38,0.36,0.37,0.31,0.33
Thailand.Liquified Petroleum Gas (litre).Transport,Total price (USD/unit using PPP),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.52,0.55,0.52,0.52,0.59,0.68,0.73,0.80,0.80,0.79,0.79,0.82,0.83,0.80,0.79,0.91,0.93,0.95,1.03,0.90,..
Turkmenistan.Natural gas (MWh).Residential,Total price (National currency/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Turkmenistan.Natural gas (MWh).Residential,Total price (USD/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Turkmenistan.Natural gas (MWh).Residential,Total price (USD/unit using PPP),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Ukraine.Natural gas (MWh).Industry,Total price (National currency/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,793.40,965.20
Ukraine.Natural gas (MWh).Industry,Total price (USD/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,31.05,36.29
Ukraine.Natural gas (MWh).Industry,Total price (USD/unit using PPP),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,117.54,..
Ukraine.Natural gas (MWh).Residential,Total price (National currency/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,592.95,669.80
Ukraine.Natural gas (MWh).Residential,Total price (USD/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,23.21,25.18
Ukraine.Natural gas (MWh).Residential,Total price (USD/unit using PPP),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,87.84,..
United Republic of Tanzania.Kerosene (1000 litres).Residential,Total price (National currency/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1975090.91,2013583.33,1990833.33,2029833.33,1739500.00,..,..
United Republic of Tanzania.Kerosene (1000 litres).Residential,Total price (USD/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1268.17,1281.15,1246.17,1227.80,873.51,..,..
United Republic of Tanzania.Kerosene (1000 litres).Residential,Total price (USD/unit using PPP),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3780.22,3544.17,3306.92,3261.14,2656.21,..,..
Uruguay.Fuel oil (tonnes).Industry,Total price (National currency/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2068.98,2238.17,2854.37,5218.48,7118.05,8692.76,9902.92,10254.09,12920.80,11044.31,11510.00,13318.44,14903.50,15283.26,16759.46,17148.60,17390.00,18772.53
Uruguay.Fuel oil (tonnes).Industry,Total price (USD/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,170.99,168.03,134.26,184.99,248.02,355.10,411.42,436.90,616.75,489.34,573.78,689.72,733.80,746.25,720.84,627.46,576.59,654.55
Uruguay.Fuel oil (tonnes).Industry,Total price (USD/unit using PPP),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,253.86,268.04,308.25,493.24,627.69,785.96,866.40,841.19,1000.84,799.73,804.33,871.63,914.89,881.39,897.67,853.59,819.12,..
Uruguay.Kerosene (1000 litres).Residential,Total price (National currency/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6092.61,7109.15,9018.72,14365.93,18292.74,18378.33,19609.72,21209.35,22697.08,19742.75,20900.00,24095.16,26887.50,27599.32,30280.83,29743.33,30100.00,32487.50
Uruguay.Kerosene (1000 litres).Residential,Total price (USD/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,503.52,533.72,424.21,509.25,637.38,750.75,814.70,903.68,1083.39,874.73,1041.87,1247.81,1323.86,1347.62,1302.40,1088.30,998.01,1132.76
Uruguay.Kerosene (1000 litres).Residential,Total price (USD/unit using PPP),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,747.56,851.39,973.94,1357.84,1613.12,1661.69,1715.64,1739.90,1758.10,1429.60,1460.52,1576.91,1650.55,1591.66,1621.90,1480.50,1417.81,..
Uruguay.Liquified Petroleum Gas (litre).Residential,Total price (National currency/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5.14,5.62,7.08,11.73,14.13,13.75,13.78,13.19,13.86,11.69,12.01,13.91,15.57,16.27,17.88,18.38,18.98,20.49
Uruguay.Liquified Petroleum Gas (litre).Residential,Total price (USD/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.42,0.42,0.33,0.42,0.49,0.56,0.57,0.56,0.66,0.52,0.60,0.72,0.77,0.80,0.77,0.67,0.63,0.71
Uruguay.Liquified Petroleum Gas (litre).Residential,Total price (USD/unit using PPP),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.63,0.67,0.76,1.11,1.25,1.24,1.21,1.08,1.07,0.85,0.84,0.91,0.96,0.94,0.96,0.92,0.89,..
Uzbekistan.Natural gas (MWh).Residential,Total price (National currency/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,13662.54,15776.18,18383.60,21549.81,24148.62
Uzbekistan.Natural gas (MWh).Residential,Total price (USD/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6.51,6.82,7.14,7.26,4.46
Uzbekistan.Natural gas (MWh).Residential,Total price (USD/unit using PPP),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,17.93,18.79,20.33,22.42,..
Viet Nam.Fuel oil (tonnes).Industry,Total price (National currency/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,17270901.96,11361301.37,7965907.10,11305120.55
Viet Nam.Fuel oil (tonnes).Industry,Total price (USD/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,816.67,523.62,363.16,497.63
Viet Nam.Fuel oil (tonnes).Industry,Total price (USD/unit using PPP),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2246.68,1499.78,1053.28,..
